symbol,date,close
T,"November 21, 1983",5.135416508
T,"November 22, 1983",5.09375
T,"November 23, 1983",5.072916508
T,"November 25, 1983",5.083333492
T,"November 28, 1983",5.03125
T,"November 29, 1983",4.947916508
T,"November 30, 1983",4.916666508
T,"December 1, 1983",4.96875
T,"December 2, 1983",4.947916508
T,"December 5, 1983",4.927083492
T,"December 6, 1983",4.90625
T,"December 7, 1983",4.885416508
T,"December 8, 1983",4.885416508
T,"December 9, 1983",4.854166508
T,"December 12, 1983",4.864583492
T,"December 13, 1983",4.90625
T,"December 14, 1983",4.916666508
T,"December 15, 1983",4.885416508
T,"December 16, 1983",4.885416508
T,"December 19, 1983",4.885416508
T,"December 20, 1983",4.90625
T,"December 21, 1983",4.916666508
T,"December 22, 1983",4.885416508
T,"December 23, 1983",4.895833492
T,"December 27, 1983",4.885416508
T,"December 28, 1983",4.9375
T,"December 29, 1983",4.927083492
T,"December 30, 1983",4.90625
T,"January 3, 1984",5.083333492
T,"January 4, 1984",5.333333492
T,"January 5, 1984",5.3125
T,"January 6, 1984",5.1875
T,"January 9, 1984",5.166666508
T,"January 10, 1984",5.166666508
T,"January 11, 1984",5.197916508
T,"January 12, 1984",5.208333492
T,"January 13, 1984",5.291666508
T,"January 16, 1984",5.395833492
T,"January 17, 1984",5.416666508
T,"January 18, 1984",5.489583492
T,"January 19, 1984",5.427083492
T,"January 20, 1984",5.427083492
T,"January 23, 1984",5.416666508
T,"January 24, 1984",5.395833492
T,"January 25, 1984",5.3125
T,"January 26, 1984",5.208333492
T,"January 27, 1984",5.197916508
T,"January 30, 1984",5.28125
T,"January 31, 1984",5.239583492
T,"February 1, 1984",5.208333492
T,"February 2, 1984",5.177083492
T,"February 3, 1984",5.1875
T,"February 6, 1984",5.135416508
T,"February 7, 1984",5.114583492
T,"February 8, 1984",5.09375
T,"February 9, 1984",5
T,"February 10, 1984",4.979166508
T,"February 13, 1984",5.083333492
T,"February 14, 1984",5.114583492
T,"February 15, 1984",5.09375
T,"February 16, 1984",5.072916508
T,"February 17, 1984",5.041666508
T,"February 21, 1984",5.041666508
T,"February 22, 1984",5.0625
T,"February 23, 1984",4.989583492
T,"February 24, 1984",4.958333492
T,"February 27, 1984",4.979166508
T,"February 28, 1984",4.9375
T,"February 29, 1984",5.010416508
T,"March 1, 1984",5.104166508
T,"March 2, 1984",5.0625
T,"March 5, 1984",5.020833492
T,"March 6, 1984",5
T,"March 7, 1984",4.9375
T,"March 8, 1984",5
T,"March 9, 1984",4.96875
T,"March 12, 1984",4.9375
T,"March 13, 1984",4.958333492
T,"March 14, 1984",4.96875
T,"March 15, 1984",4.958333492
T,"March 16, 1984",4.895833492
T,"March 19, 1984",4.895833492
T,"March 20, 1984",4.864583492
T,"March 21, 1984",4.885416508
T,"March 22, 1984",4.84375
T,"March 23, 1984",4.885416508
T,"March 26, 1984",4.770833492
T,"March 27, 1984",4.770833492
T,"March 28, 1984",4.78125
T,"March 29, 1984",4.791666508
T,"March 30, 1984",4.770833492
T,"April 2, 1984",4.708333492
T,"April 3, 1984",4.666666508
T,"April 4, 1984",4.666666508
T,"April 5, 1984",4.635416508
T,"April 6, 1984",4.635416508
T,"April 9, 1984",4.625
T,"April 10, 1984",4.625
T,"April 11, 1984",4.625
T,"April 12, 1984",4.6875
T,"April 13, 1984",4.666666508
T,"April 16, 1984",4.666666508
T,"April 17, 1984",4.6875
T,"April 18, 1984",4.6875
T,"April 19, 1984",4.708333492
T,"April 23, 1984",4.739583492
T,"April 24, 1984",4.854166508
T,"April 25, 1984",4.90625
T,"April 26, 1984",4.9375
T,"April 27, 1984",4.916666508
T,"April 30, 1984",4.958333492
T,"May 1, 1984",5.010416508
T,"May 2, 1984",4.885416508
T,"May 3, 1984",4.927083492
T,"May 4, 1984",4.916666508
T,"May 7, 1984",4.90625
T,"May 8, 1984",4.895833492
T,"May 9, 1984",4.90625
T,"May 10, 1984",4.875
T,"May 11, 1984",4.8125
T,"May 14, 1984",4.71875
T,"May 15, 1984",4.708333492
T,"May 16, 1984",4.697916508
T,"May 17, 1984",4.666666508
T,"May 18, 1984",4.65625
T,"May 21, 1984",4.645833492
T,"May 22, 1984",4.635416508
T,"May 23, 1984",4.697916508
T,"May 24, 1984",4.666666508
T,"May 25, 1984",4.635416508
T,"May 29, 1984",4.604166508
T,"May 30, 1984",4.59375
T,"May 31, 1984",4.614583492
T,"June 1, 1984",4.739583492
T,"June 4, 1984",4.739583492
T,"June 5, 1984",4.729166508
T,"June 6, 1984",4.75
T,"June 7, 1984",4.75
T,"June 8, 1984",4.802083492
T,"June 11, 1984",4.802083492
T,"June 12, 1984",4.8125
T,"June 13, 1984",4.802083492
T,"June 14, 1984",4.739583492
T,"June 15, 1984",4.760416508
T,"June 18, 1984",4.78125
T,"June 19, 1984",4.822916508
T,"June 20, 1984",4.854166508
T,"June 21, 1984",4.90625
T,"June 22, 1984",4.864583492
T,"June 25, 1984",4.739583492
T,"June 26, 1984",4.739583492
T,"June 27, 1984",4.666666508
T,"June 28, 1984",4.677083492
T,"June 29, 1984",4.65625
T,"July 2, 1984",4.65625
T,"July 3, 1984",4.6875
T,"July 5, 1984",4.677083492
T,"July 6, 1984",4.666666508
T,"July 9, 1984",4.708333492
T,"July 10, 1984",4.71875
T,"July 11, 1984",4.78125
T,"July 12, 1984",4.84375
T,"July 13, 1984",4.895833492
T,"July 16, 1984",4.895833492
T,"July 17, 1984",4.9375
T,"July 18, 1984",4.96875
T,"July 19, 1984",4.947916508
T,"July 20, 1984",4.958333492
T,"July 23, 1984",4.958333492
T,"July 24, 1984",5
T,"July 25, 1984",5.0625
T,"July 26, 1984",5.041666508
T,"July 27, 1984",4.989583492
T,"July 30, 1984",4.989583492
T,"July 31, 1984",5.0625
T,"August 1, 1984",5.1875
T,"August 2, 1984",5.354166508
T,"August 3, 1984",5.3125
T,"August 6, 1984",5.166666508
T,"August 7, 1984",5.166666508
T,"August 8, 1984",5.145833492
T,"August 9, 1984",5.197916508
T,"August 10, 1984",5.229166508
T,"August 13, 1984",5.229166508
T,"August 14, 1984",5.21875
T,"August 15, 1984",5.208333492
T,"August 16, 1984",5.229166508
T,"August 17, 1984",5.229166508
T,"August 20, 1984",5.302083492
T,"August 21, 1984",5.364583492
T,"August 22, 1984",5.354166508
T,"August 23, 1984",5.322916508
T,"August 24, 1984",5.302083492
T,"August 27, 1984",5.28125
T,"August 28, 1984",5.291666508
T,"August 29, 1984",5.291666508
T,"August 30, 1984",5.28125
T,"August 31, 1984",5.291666508
T,"September 4, 1984",5.270833492
T,"September 5, 1984",5.229166508
T,"September 6, 1984",5.291666508
T,"September 7, 1984",5.270833492
T,"September 10, 1984",5.291666508
T,"September 11, 1984",5.260416508
T,"September 12, 1984",5.28125
T,"September 13, 1984",5.333333492
T,"September 14, 1984",5.364583492
T,"September 17, 1984",5.354166508
T,"September 18, 1984",5.34375
T,"September 19, 1984",5.40625
T,"September 20, 1984",5.447916508
T,"September 21, 1984",5.46875
T,"September 24, 1984",5.354166508
T,"September 25, 1984",5.364583492
T,"September 26, 1984",5.364583492
T,"September 27, 1984",5.364583492
T,"September 28, 1984",5.385416508
T,"October 1, 1984",5.385416508
T,"October 2, 1984",5.385416508
T,"October 3, 1984",5.364583492
T,"October 4, 1984",5.364583492
T,"October 5, 1984",5.333333492
T,"October 8, 1984",5.291666508
T,"October 9, 1984",5.28125
T,"October 10, 1984",5.291666508
T,"October 11, 1984",5.3125
T,"October 12, 1984",5.375
T,"October 15, 1984",5.458333492
T,"October 16, 1984",5.5
T,"October 17, 1984",5.5625
T,"October 18, 1984",5.65625
T,"October 19, 1984",5.729166508
T,"October 22, 1984",5.65625
T,"October 23, 1984",5.46875
T,"October 24, 1984",5.416666508
T,"October 25, 1984",5.5
T,"October 26, 1984",5.458333492
T,"October 29, 1984",5.46875
T,"October 30, 1984",5.458333492
T,"October 31, 1984",5.458333492
T,"November 1, 1984",5.458333492
T,"November 2, 1984",5.479166508
T,"November 5, 1984",5.46875
T,"November 6, 1984",5.53125
T,"November 7, 1984",5.5
T,"November 8, 1984",5.458333492
T,"November 9, 1984",5.4375
T,"November 12, 1984",5.416666508
T,"November 13, 1984",5.364583492
T,"November 14, 1984",5.364583492
T,"November 15, 1984",5.427083492
T,"November 16, 1984",5.4375
T,"November 19, 1984",5.40625
T,"November 20, 1984",5.458333492
T,"November 21, 1984",5.489583492
T,"November 23, 1984",5.645833492
T,"November 26, 1984",5.645833492
T,"November 27, 1984",5.677083492
T,"November 28, 1984",5.65625
T,"November 29, 1984",5.614583492
T,"November 30, 1984",5.552083492
T,"December 3, 1984",5.572916508
T,"December 4, 1984",5.541666508
T,"December 5, 1984",5.541666508
T,"December 6, 1984",5.541666508
T,"December 7, 1984",5.53125
T,"December 10, 1984",5.552083492
T,"December 11, 1984",5.572916508
T,"December 12, 1984",5.552083492
T,"December 13, 1984",5.552083492
T,"December 14, 1984",5.645833492
T,"December 17, 1984",5.739583492
T,"December 18, 1984",5.90625
T,"December 19, 1984",5.895833492
T,"December 20, 1984",5.822916508
T,"December 21, 1984",5.833333492
T,"December 24, 1984",5.864583492
T,"December 26, 1984",5.875
T,"December 27, 1984",5.854166508
T,"December 28, 1984",5.84375
T,"December 31, 1984",5.895833492
T,"January 2, 1985",5.895833492
T,"January 3, 1985",5.875
T,"January 4, 1985",5.770833492
T,"January 7, 1985",5.729166508
T,"January 8, 1985",5.71875
T,"January 9, 1985",5.71875
T,"January 10, 1985",5.739583492
T,"January 11, 1985",5.729166508
T,"January 14, 1985",5.760416508
T,"January 15, 1985",5.770833492
T,"January 16, 1985",5.75
T,"January 17, 1985",5.729166508
T,"January 18, 1985",5.729166508
T,"January 21, 1985",5.75
T,"January 22, 1985",5.729166508
T,"January 23, 1985",5.739583492
T,"January 24, 1985",5.739583492
T,"January 25, 1985",5.822916508
T,"January 28, 1985",5.885416508
T,"January 29, 1985",5.96875
T,"January 30, 1985",6.041666508
T,"January 31, 1985",6.0625
T,"February 1, 1985",6
T,"February 4, 1985",6.020833492
T,"February 5, 1985",6.020833492
T,"February 6, 1985",6.03125
T,"February 7, 1985",6.072916508
T,"February 8, 1985",6.072916508
T,"February 11, 1985",6.083333492
T,"February 12, 1985",6.177083492
T,"February 13, 1985",6.270833492
T,"February 14, 1985",6.21875
T,"February 15, 1985",6.21875
T,"February 19, 1985",6.229166508
T,"February 20, 1985",6.21875
T,"February 21, 1985",6.1875
T,"February 22, 1985",6.072916508
T,"February 25, 1985",6.0625
T,"February 26, 1985",6.177083492
T,"February 27, 1985",6.208333492
T,"February 28, 1985",6.166666508
T,"March 1, 1985",6.197916508
T,"March 4, 1985",6.177083492
T,"March 5, 1985",6.114583492
T,"March 6, 1985",6.052083492
T,"March 7, 1985",6.09375
T,"March 8, 1985",6.0625
